Cheeses,Meats,Vegetables,Condiments
Butterkase,Ham,Cornichons,Fig Jam
Smoked Gouda,Jamon Serrano,Sun-dried Tomatoes,Yellow Mustard
Brie,Proscuitto,Peppadews,Cherry Jam
Taleggio,Speck,Spinach,Bacon Jam
Raclette,Wagyu Salami,Potato Chips,Pineapple Jam
Jalapeno Pepper Jack,Genoa,Gigandes,Marinara
Comte,Soppressata,Peruvian Peppers,Olive Tapenade
Gruyere,Black Truffle Salami,Dried Dates,Honey
Alpenhorn,Chorizo,Dried Apricots,Hot Honey
Chevre,Pepperoni,,Caramelized Onion Jam
Mozzarella,Bresaola,,Honey Mustard
Garlic & Basil Gouda,Italian Dry Salami,,House Mustard
Smokin' Goat,Capocolla,,Dijon Mustard
Drunken Goat,Calabrese,,House Jam
Black Pepper Pecorino,Toscano,,Whole-Grain Mustard
Sicilian Jack,Finocchiona,,
Blumenkaese,,,
Cotswold,,,
Lemon-Honey Wensleydale,,,
Emmental,,,
Truffle Gouda,,,
